NomSubEstacao,NumCoordESub,NumCoordNSub
PET00,-4723,-2427
Sao Pedro da Aldeia,-4211,-2282
UTE CUJUBIM,-6258,-939
RURÓPOLIS ELETRONORTE,-5490,-407
RUBIATABA,-4978,-1516
SUMARE 5 NOVA VENEZA,-4722,-2281
Macabu,-4210,-2223
COROMANDEL,-4721,-1847
Itaocara,-4209,-2167
MOURAO-I,-5232,-2409
SÃO JOÃO DO SUL,-4976,-2923
LINS 1,-4976,-2168
INDAIATUBA 1,-4720,-2309
ERECHIM 1,-5231,-2766
ARATIBA,-5231,-2742
ARACUAI 1,-4207,-1685
SUBESTA�ÃO PELOTAS 1,-5230,-3176
PASSO DO SOBRADO,-5230,-2970
AMC01,-4974,-2030
PARA DE MINAS 1,-4462,-1986
Trajano de Moraes,-4206,-2207
CAPANEMA,-4717,-120
Porto do Carro,-4205,-2285
Dourados Alvorada,-5484,-2224
LAPA,-4972,-2575
CARANGOLA,-4204,-2072
ENGENHEIRO CALDAS,-4204,-1919
PROCTER & GAMBLE DO BRASIL LTDA,-5995,-312
SHOWA DO BRASIL LTDA,-5995,-313
AL. SERTAO,-5227,-2804
Cabo Frio,-4203,-2288
SE CANARANA 138 KV,-5226,-1355
SE CHAVANTES,-4970,-2305
TUCURUI CENTRO,-4969,-375
ITAUNA 1,-4457,-2005
PARA DE MINAS 2,-4457,-1988
Rocha Leao,-4201,-2242
Vila Verde,-4201,-2248
ERECHIM 2,-5224,-2763
GETÚLIO VARGAS,-5224,-2790
PRINCESA DO XINGU,-5224,-322
JOSE BONIFACIO 1,-4968,-2106
UNAI 6,-4712,-1638
ALTAMIRA,-5222,-319
Mambucaba,-4454,-2303
GOVERNADOR VALADARES 2,-4198,-1885
Natividade,-4198,-2104
APUIARES,-3942,-394
SE JARU,-6245,-1044
MARAU,-5221,-2846
AL. MARAU,-5221,-2847
NOVA ESPERANCA,-5221,-2319
VENÂNCIO AIRES 2 - CIDADE ALTA,-5220,-2963
GOVERNADOR VALADARES 1,-4196,-1886
CRATO,-3940,-723
MUIRAQUITA,-5475,-245
UNAI 4,-4707,-1656
SUBESTA�ÃO CIA RIOG SANEAMENTO CORSAN,-5218,-3212
PRESIDENTE DUTRA,-4450,-528
URUCUI II,-4450,-729
ITAGUARA,-4450,-2039
Rio das Ostras,-4194,-2252
TAPAJÓS,-5473,-248
ALENQUER,-5473,-190
SE LAGOA DA CONFUSAO,-4961,-1078
CAFELANDIA 1,-4961,-2181
CAMPINAS 17 MONTE DESTE,-4705,-2281
CERRO LARGO,-5472,-2815
VENÂNCIO AIRES 1 - CEEE,-5216,-2963
CURIONÓPOLIS,-4960,-610
GUARDA MOR,-4704,-1764
CORINTO 1,-4448,-1837
ARAIOSES,-4192,-288
Cambuci,-4192,-2157
Buzios,-4192,-2278
SE AGUA BOA 138 KV,-5215,-1408
VALINHOS 3 SACI,-4703,-2300
ITATIAIUÇU,-4447,-2019
GOVERNADOR VALADARES 3,-4191,-1883
FREI INOCENCIO,-4191,-1855
JAGUARI,-5470,-2949
SANTARÉM,-5470,-243
Liberdade,-4446,-2246
Angra-Furnas,-4446,-2300
SEVERIANO DE ALMEIDA,-5213,-2744
Entroncamento Retiro Saudoso,-4445,-2254
Itaperuna,-4189,-2120
Severina,-4189,-2230
SE URUPA,-6236,-1114
CAPINOPOLIS,-4956,-1869
GAURAMA,-5211,-2759
